Release,Filename,LOC,NR,Authors,Loc Touched,Loc added,LOC added,Avg LOC added,Churn,Max Churn,Avg Churn,Buggy
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,11,3,376,280,111,25,190,90,17,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,3,3,89,82,75,27,75,75,25,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,8,3,58,35,8,4,14,7,1,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,9,3,190,110,24,12,34,11,3,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,1,1,0,0,0,0,0,0,0,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,3,2,21,11,8,3,1,1,0,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,3,2,21,11,8,3,1,1,0,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,6,3,813,71,51,11,679,675,113,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,6,3,441,233,101,38,25,23,4,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,3,3,10,5,4,1,0,0,0,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,2,2,10,5,5,2,0,0,0,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,2,2,8,4,4,2,0,0,0,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,3,2,21,11,7,3,1,1,0,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,3,3,33,4,4,1,25,25,8,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,1,1,94,94,94,94,94,94,94,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72,1,1,72,72,72,72,72,72,72,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,1,1,42,42,42,42,42,42,42,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,3,2,64,56,48,18,48,48,16,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,2,2,71,67,63,33,63,63,31,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,237,2,2,277,257,237,128,237,237,118,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,133,3,2,145,139,133,46,133,133,44,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137,4,2,163,150,136,37,137,136,34,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,177,3,2,185,181,176,60,177,176,59,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,2,2,48,47,46,23,46,46,23,No
